,SKI_ID,Ski_Long,Ski_Lat,NCA,STATE,NAME,SnotelID,Snotel_dist_km,Snotel_elev,ref mean SMD,ref std SMD,1920 mean SMD,1920 std SMD,1920 percent loss SMD,1930 mean SMD,1930 std SMD,1930 percent loss SMD,1940 mean SMD,1940 std SMD,1940 percent loss SMD,1950 mean SMD,1950 std SMD,1950 percent loss SMD,1960 mean SMD,1960 std SMD,1960 percent loss SMD,1970 mean SMD,1970 std SMD,1970 percent loss SMD,1980 mean SMD,1980 std SMD,1980 percent loss SMD,1990 mean SMD,1990 std SMD,1990 percent loss SMD,2000 mean SMD,2000 std SMD,2000 percent loss SMD,2010 mean SMD,2010 std SMD,2010 percent loss SMD,2020 mean SMD,2020 std SMD,2020 percent loss SMD,2030 mean SMD,2030 std SMD,2030 percent loss SMD,2040 mean SMD,2040 std SMD,2040 percent loss SMD,2050 mean SMD,2050 std SMD,2050 percent loss SMD,2060 mean SMD,2060 std SMD,2060 percent loss SMD,2070 mean SMD,2070 std SMD,2070 percent loss SMD,2080 mean SMD,2080 std SMD,2080 percent loss SMD,2090 mean SMD,2090 std SMD,2090 percent loss SMD,2100 mean SMD,2100 std SMD,2100 percent loss SMD
164,1167,-122.71348585,42.08345206,Northwest,OREGON,Mount Ashland Ski Area,708,11.24427548,,34.67,1.53,38.4,11.46,0.11,37.02,13.23,0.07,38.28,10.89,0.1,37.35,13.8,0.08,37.28,15.54,0.08,39.52,11.0,0.14,32.7,12.1,0.06,36.2,14.11,0.04,36.42,13.56,0.05,29.7,12.02,0.14,26.58,12.58,0.23,24.55,14.23,0.29,21.48,9.88,0.38,18.98,9.11,0.45,12.45,7.59,0.64,11.6,11.04,0.67,7.78,5.93,0.78,6.35,6.0,0.82,5.78,5.43,0.83
165,1168,-121.66413988,45.33646901,Northwest,OREGON,Mount Hood Meadow Ski Area,749,4.50823218,,39.65,1.61,44.42,11.95,0.12,40.88,13.84,0.03,41.5,12.66,0.05,40.15,14.03,0.01,41.05,14.98,0.04,43.45,12.17,0.1,39.65,12.99,0.0,39.58,13.92,0.0,41.7,14.24,0.05,35.3,12.69,0.11,32.15,14.14,0.19,32.05,15.25,0.19,27.55,12.3,0.31,25.2,10.05,0.36,18.0,9.41,0.55,19.1,14.82,0.52,13.52,7.01,0.66,11.48,8.12,0.71,10.48,7.52,0.74
166,1169,-121.68556752,43.99201331,Northwest,OREGON,Mt. Bachelor Ski Area,780,16.79748153,,62.34,4.6,68.92,15.83,0.11,65.1,14.83,0.04,65.58,14.89,0.05,65.45,18.28,0.05,66.53,19.31,0.07,69.4,13.32,0.11,60.68,18.74,0.03,64.53,17.28,0.04,66.25,17.86,0.06,56.38,17.4,0.1,52.72,15.38,0.15,47.9,18.58,0.23,40.33,15.8,0.35,36.98,14.73,0.41,26.62,11.43,0.57,25.92,17.22,0.58,18.82,8.65,0.7,14.4,8.62,0.77,13.8,9.02,0.78
167,1170,-121.77176944,45.29399471,Northwest,OREGON,Mt. Hood Skibowl,749,4.78981823,,27.38,1.91,30.35,9.66,0.11,28.65,12.59,0.05,28.78,11.81,0.05,27.95,12.26,0.02,29.02,13.78,0.06,28.7,11.36,0.05,27.25,10.41,0.0,27.12,13.05,0.01,29.25,11.73,0.07,23.28,11.24,0.15,21.55,12.03,0.21,21.98,13.02,0.2,19.05,10.28,0.3,17.1,8.4,0.38,11.7,8.03,0.57,12.55,11.77,0.54,9.18,6.35,0.66,7.88,7.2,0.71,6.7,6.17,0.76
168,1171,-118.0470063,45.75751745,Northwest,OREGON,Spout Springs Ski Area,733,7.88472502,,47.06,1.67,50.9,13.51,0.08,48.55,14.08,0.03,49.32,15.81,0.05,48.02,16.52,0.02,49.6,17.13,0.05,53.5,12.58,0.14,46.52,14.59,0.01,47.95,14.9,0.02,49.45,15.62,0.05,40.88,13.95,0.13,36.22,15.68,0.23,37.2,16.83,0.21,31.25,12.69,0.34,29.5,11.24,0.37,20.7,10.29,0.56,22.0,15.11,0.53,15.62,7.7,0.67,13.32,8.61,0.72,12.2,8.3,0.74
169,1172,-121.74277356,45.3055561,Northwest,OREGON,Summit Ski Area,749,2.32369934,,39.65,1.61,44.42,11.95,0.12,40.88,13.84,0.03,41.5,12.66,0.05,40.15,14.03,0.01,41.05,14.98,0.04,43.45,12.17,0.1,39.65,12.99,0.0,39.58,13.92,0.0,41.7,14.24,0.05,35.3,12.69,0.11,32.15,14.14,0.19,32.05,15.25,0.19,27.55,12.3,0.31,25.2,10.05,0.36,18.0,9.41,0.55,19.1,14.82,0.52,13.52,7.01,0.66,11.48,8.12,0.71,10.48,7.52,0.74
170,1173,-121.31779585,43.70981682,Northwest,OREGON,Sunriver Resort,737,48.8815532,,66.25,3.81,73.4,16.03,0.11,69.42,15.07,0.05,69.38,14.57,0.05,68.85,18.59,0.04,71.08,19.66,0.07,73.65,13.41,0.11,65.3,18.64,0.01,69.05,17.27,0.04,69.18,18.08,0.04,60.08,17.24,0.09,56.8,15.46,0.14,50.6,19.09,0.24,43.3,15.18,0.35,39.25,14.36,0.41,28.42,11.33,0.57,26.7,16.36,0.6,20.32,8.82,0.69,15.62,8.71,0.76,14.5,9.53,0.78
171,1174,-121.71404491,45.33224328,Northwest,OREGON,Timberline Lodge and Ski Area,749,1.42983152,,39.65,1.61,44.42,11.95,0.12,40.88,13.84,0.03,41.5,12.66,0.05,40.15,14.03,0.01,41.05,14.98,0.04,43.45,12.17,0.1,39.65,12.99,0.0,39.58,13.92,0.0,41.7,14.24,0.05,35.3,12.69,0.11,32.15,14.14,0.19,32.05,15.25,0.19,27.55,12.3,0.31,25.2,10.05,0.36,18.0,9.41,0.55,19.1,14.82,0.52,13.52,7.01,0.66,11.48,8.12,0.71,10.48,7.52,0.74
172,1175,-120.29695858,42.23355152,Northwest,OREGON,Warner Canyon Ski Area,311,28.53763443,,73.73,6.23,79.58,17.15,0.08,79.12,14.62,0.07,78.8,15.89,0.07,78.85,20.91,0.07,79.3,22.49,0.08,86.68,17.95,0.18,73.22,22.91,0.01,78.3,19.61,0.06,75.82,22.17,0.03,68.9,18.42,0.07,63.18,17.86,0.14,55.68,19.53,0.24,47.82,16.39,0.35,42.7,14.93,0.42,33.38,11.6,0.55,30.4,17.6,0.59,23.72,10.48,0.68,18.4,10.14,0.75,16.82,10.07,0.77
173,1176,-122.02257763,43.60673721,Northwest,OREGON,Willamette Pass Ski Area,715,3.39397013,,64.4,4.08,71.38,16.89,0.11,67.7,15.14,0.05,67.82,14.97,0.05,66.92,18.83,0.04,68.62,19.33,0.07,70.55,13.45,0.1,62.9,19.13,0.02,67.4,17.55,0.05,67.68,17.34,0.05,58.42,17.05,0.09,54.88,14.89,0.15,49.25,19.17,0.24,41.9,15.47,0.35,38.05,14.55,0.41,27.42,10.86,0.57,26.4,16.17,0.59,19.68,9.3,0.69,15.05,8.65,0.77,14.3,9.23,0.78
174,1177,-78.55907127,40.29408894,Northeast,PENNSYLVANIA,Blue Knob Ski Area,785,1996.49375723,,68.97,1.33,74.72,10.19,0.08,75.1,12.23,0.09,75.58,9.6,0.1,78.32,11.14,0.14,75.78,12.89,0.1,77.5,10.57,0.12,74.62,11.0,0.08,68.38,11.58,0.01,70.42,12.08,0.02,65.58,11.78,0.05,61.15,11.45,0.11,58.45,8.38,0.15,52.62,10.81,0.24,48.48,11.16,0.3,43.5,10.01,0.37,39.88,10.32,0.42,34.75,9.24,0.5,33.3,11.41,0.52,25.85,9.86,0.63
175,1178,-75.35154206,41.04827886,Northeast,PENNSYLVANIA,Camelback Ski Area,785,2209.74542262,,70.8,1.33,75.95,10.23,0.07,76.38,12.3,0.08,77.35,10.55,0.09,80.55,10.62,0.14,77.68,13.22,0.1,78.65,10.61,0.11,75.92,11.59,0.07,71.08,10.36,0.0,72.62,12.0,0.03,66.7,11.81,0.06,62.6,11.78,0.12,60.22,8.62,0.15,53.82,10.79,0.24,49.62,11.52,0.3,44.62,9.37,0.37,40.58,10.67,0.43,36.12,8.95,0.49,34.55,10.6,0.51,26.55,10.07,0.62
